Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
FlyDubai,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-03-25 02:42:00,2025-03-25 11:26:59,8.74978934080127,1 Stop,Boeing 777,First Class,Online Website,168989.79928664857,31348.469892997284,200338.26917964587,Regular,76
British Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",DEL,"Indira Gandhi International Airport, Delhi",2025-03-05 22:02:00,2025-03-06 00:31:38,2.49402050313883,Direct,Boeing 737,First Class,Online Website,181610.4299188404,29241.56448782606,210851.99440666646,Regular,23
Emirates,SPD,Saidpur Airport,SIN,Singapore Changi Airport,2025-09-28 21:11:00,2025-09-29 00:38:33,3.4594260365118696,Direct,Boeing 737,First Class,Direct Booking,76630.41165647627,17494.56174847144,94124.9734049477,Regular,49
Malaysian Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",DXB,Dubai International Airport,2026-01-22 00:29:00,2026-01-22 04:08:35,3.65994487769942,Direct,Boeing 787,First Class,Travel Agency,283032.3811327024,46454.85716990536,329487.2383026078,Winter Holidays,43
US-Bangla Airlines,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-10-25 19:08:00,2025-10-25 22:09:23,3.023182748873056,Direct,Boeing 787,Economy,Online Website,9943.901963004795,7491.585294450719,17435.487257455512,Regular,24
NovoAir,CGP,"Shah Amanat International Airport, Chittagong",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-04-18 00:30:00,2025-04-18 01:14:45,0.7460937006495726,Direct,Airbus A320,Business,Travel Agency,4934.305240268363,200.0,5134.305240268363,Regular,53
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-05-27 17:07:00,2025-05-28 01:47:53,8.681457419811945,2 Stops,Airbus A350,Business,Online Website,37097.72763591081,11564.65914538662,48662.38678129743,Regular,73
AirAsia,DAC,"Hazrat Shahjalal International Airport, Dhaka",ZYL,"Osmani International Airport, Sylhet",2025-08-11 19:13:00,2025-08-11 19:53:36,0.6769399028841795,Direct,Airbus A320,Economy,Travel Agency,2377.685053110795,200.0,2577.685053110795,Regular,16
Saudia,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-09-19 11:56:00,2025-09-20 01:48:45,13.879417806049375,1 Stop,Airbus A350,First Class,Travel Agency,68017.88044989204,16202.682067483805,84220.56251737585,Regular,41
IndiGo,RJH,"Shah Makhdum Airport, Rajshahi",SPD,Saidpur Airport,2025-09-13 00:19:00,2025-09-13 00:49:00,0.5,Direct,Airbus A320,Business,Direct Booking,5726.734931477678,200.0,5926.734931477678,Regular,84
Kuwait Airways,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-12-31 20:02:00,2026-01-01 10:28:36,14.443362408523788,1 Stop,Airbus A350,First Class,Travel Agency,304186.3488060775,51627.95232091162,355814.3011269891,Winter Holidays,33
British Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2025-09-27 09:41:00,2025-09-27 10:28:21,0.7892397955807953,Direct,Airbus A320,Business,Direct Booking,6837.33856620529,200.0,7037.33856620529,Regular,71
Thai Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",DXB,Dubai International Airport,2026-01-16 16:33:00,2026-01-16 20:29:54,3.9483737902575458,Direct,Boeing 787,Business,Online Website,143311.47734393744,25496.721601590616,168808.19894552807,Winter Holidays,73
Gulf Air,BZL,Barisal Airport,SPD,Saidpur Airport,2025-04-16 01:47:00,2025-04-16 02:52:18,1.0885457823438753,Direct,Airbus A320,Economy,Direct Booking,3831.7775181155516,200.0,4031.7775181155516,Regular,45
Gulf Air,SPD,Saidpur Airport,DXB,Dubai International Airport,2025-09-30 14:02:00,2025-09-30 17:27:04,3.4179192693972045,Direct,Boeing 787,Economy,Direct Booking,57454.12674126604,12618.119011189905,84086.69490294713,Regular,2
IndiGo,SPD,Saidpur Airport,ZYL,"Osmani International Airport, Sylhet",2026-01-07 18:32:00,2026-01-07 19:35:12,1.053364747911156,Direct,Airbus A320,Economy,Travel Agency,4427.356225448505,200.0,4627.356225448505,Winter Holidays,11
Kuwait Airways,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2025-05-20 14:07:00,2025-05-20 15:09:15,1.0377008046091207,Direct,Airbus A320,First Class,Direct Booking,13084.551207727685,200.0,13284.551207727685,Regular,19
Thai Airways,CGP,"Shah Amanat International Airport, Chittagong",DOH,"Hamad International Airport, Doha",2025-09-06 15:49:00,2025-09-06 19:55:31,4.108860489207355,Direct,Boeing 787,Economy,Online Website,18350.09644145915,6752.514466218872,25102.610907678023,Regular,9
Malaysian Airlines,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-08-19 11:07:00,2025-08-19 11:37:00,0.5,Direct,Airbus A320,Business,Travel Agency,6586.268001249962,200.0,6786.268001249962,Regular,48
AirAsia,CXB,Cox's Bazar Airport,BZL,Barisal Airport,2025-09-13 06:41:00,2025-09-13 07:23:13,0.7038546681743629,Direct,Airbus A320,First Class,Travel Agency,10852.118563861814,200.0,13262.542276634176,Regular,1
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2026-01-26 08:20:00,2026-01-26 09:46:59,1.4497804459616386,Direct,Airbus A320,Business,Direct Booking,7046.163280909896,200.0,7246.163280909896,Winter Holidays,58
FlyDubai,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-05-24 16:41:00,2025-05-24 19:55:16,3.2380308175364827,1 Stop,Boeing 787,Economy,Online Website,5753.691776880411,6863.053766532062,12616.745543412473,Regular,54
NovoAir,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-07-20 23:20:00,2025-07-21 00:09:07,0.8187538583915734,Direct,Airbus A320,Economy,Travel Agency,3082.4312386490915,200.0,3282.4312386490915,Regular,23
Cathay Pacific,DAC,"Hazrat Shahjalal International Airport, Dhaka",KUL,Kuala Lumpur International Airport,2025-09-11 12:12:00,2025-09-11 15:00:43,2.8119735216848265,Direct,Boeing 787,First Class,Online Website,224440.26327150132,39666.0394907252,264106.3027622265,Regular,25
Air India,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-09-12 23:29:00,2025-09-13 00:59:59,1.5165308004665823,Direct,Airbus A320,Economy,Travel Agency,3644.5909454731172,200.0,3844.5909454731172,Regular,76
Vistara,SPD,Saidpur Airport,JSR,Jessore Airport,2025-12-02 17:51:00,2025-12-02 18:46:24,0.9233811811237891,Direct,Airbus A320,Business,Direct Booking,7008.034263689028,200.0,7208.034263689028,Winter Holidays,37
Gulf Air,CXB,Cox's Bazar Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-05-11 03:50:00,2025-05-11 04:20:00,0.5,Direct,Airbus A320,Business,Direct Booking,6632.0256277423105,200.0,6832.0256277423105,Regular,20
Saudia,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-07-13 11:18:00,2025-07-13 12:43:14,1.4206764304834272,Direct,Airbus A320,Business,Online Website,6493.059593705851,200.0,6693.059593705851,Regular,90
Emirates,CGP,"Shah Amanat International Airport, Chittagong",JED,"King Abdulaziz International Airport, Jeddah",2025-06-30 17:33:00,2025-06-30 23:56:28,6.391295426066156,1 Stop,Boeing 777,First Class,Travel Agency,37367.434653988814,9605.115198098323,46972.54985208713,Regular,14
NovoAir,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-03-20 16:26:00,2025-03-20 19:13:16,2.787809539967609,Direct,Boeing 787,Economy,Direct Booking,28100.23191016102,10215.034786524153,38315.26669668517,Regular,61
Cathay Pacific,ZYL,"Osmani International Airport, Sylhet",BKK,"Suvarnabhumi Airport, Bangkok",2025-08-24 09:40:00,2025-08-24 12:28:09,2.8025245770262495,Direct,Boeing 737,Economy,Online Website,55485.187541820975,14322.778131273146,69807.96567309412,Regular,66
Kuwait Airways,SPD,Saidpur Airport,JFK,"John F. Kennedy International Airport, New York",2025-12-08 07:25:00,2025-12-08 21:13:02,13.800761008936194,1 Stop,Boeing 777,Economy,Travel Agency,69792.22046392449,16468.833069588673,86261.05353351316,Winter Holidays,15
Etihad Airways,SPD,Saidpur Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-06-26 14:52:00,2025-06-26 15:23:29,0.5248125806894763,Direct,Airbus A320,Business,Travel Agency,6083.636996333308,200.0,6283.636996333308,Regular,51
Etihad Airways,SPD,Saidpur Airport,JSR,Jessore Airport,2025-05-04 07:16:00,2025-05-04 08:13:41,0.9615320743989129,Direct,Airbus A320,First Class,Direct Booking,10295.9179811389,200.0,10495.9179811389,Regular,88
NovoAir,DAC,"Hazrat Shahjalal International Airport, Dhaka",BZL,Barisal Airport,2026-01-16 15:04:00,2026-01-16 15:34:00,0.5,Direct,Airbus A320,Business,Travel Agency,6114.499691283803,200.0,6314.499691283803,Winter Holidays,20
Gulf Air,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2025-11-22 01:11:00,2025-11-22 02:23:08,1.2022792271498886,Direct,Airbus A320,Economy,Travel Agency,1608.644602954555,200.0,1808.644602954555,Regular,86
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",IST,Istanbul Airport,2026-02-23 15:54:00,2026-02-23 23:06:29,7.208188330077978,2 Stops,Boeing 777,Business,Travel Agency,85236.08539202152,16785.412808803227,102021.49820082475,Winter Holidays,75
Vistara,DAC,"Hazrat Shahjalal International Airport, Dhaka",ZYL,"Osmani International Airport, Sylhet",2025-05-05 19:25:00,2025-05-05 20:04:36,0.6600733540466983,Direct,Airbus A320,First Class,Direct Booking,11595.40181947749,200.0,11795.40181947749,Regular,72
Gulf Air,RJH,"Shah Makhdum Airport, Rajshahi",DEL,"Indira Gandhi International Airport, Delhi",2025-07-08 08:28:00,2025-07-08 10:27:56,1.9990632311936032,Direct,Boeing 737,First Class,Online Website,106756.7338854702,18013.51008282053,124770.24396829073,Regular,73
Lufthansa,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2025-07-07 20:24:00,2025-07-07 21:29:44,1.095653005485539,Direct,Airbus A320,Business,Online Website,4777.976346804923,200.0,4977.976346804923,Regular,82
Emirates,RJH,"Shah Makhdum Airport, Rajshahi",IST,Istanbul Airport,2025-05-13 01:48:00,2025-05-13 08:36:37,6.810357361104909,1 Stop,Airbus A350,Business,Direct Booking,42144.83339870189,10321.725009805283,52466.558408507175,Regular,72
Thai Airways,RJH,"Shah Makhdum Airport, Rajshahi",JFK,"John F. Kennedy International Airport, New York",2025-05-01 05:47:00,2025-05-01 20:50:33,15.059227522059357,1 Stop,Boeing 777,First Class,Travel Agency,253502.06006189345,44025.309009284014,297527.36907117744,Regular,15
Emirates,JSR,Jessore Airport,LHR,London Heathrow Airport,2025-04-01 20:47:00,2025-04-02 05:17:27,8.507659282028527,1 Stop,Airbus A350,Economy,Direct Booking,12373.570208486024,7856.035531272903,20229.60573975893,Eid,54
NovoAir,SPD,Saidpur Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-09-30 18:23:00,2025-10-01 00:33:07,6.1688232751602845,1 Stop,Airbus A350,Economy,Online Website,46284.47614745134,10942.671422117703,57227.147569569046,Regular,88
Biman Bangladesh Airlines,RJH,"Shah Makhdum Airport, Rajshahi",LHR,London Heathrow Airport,2025-06-05 14:34:00,2025-06-05 23:46:48,9.213485999388205,1 Stop,Airbus A350,Business,Direct Booking,103459.6994108556,21518.954911628338,124978.65432248393,Hajj,36
Cathay Pacific,BZL,Barisal Airport,IST,Istanbul Airport,2025-05-15 02:00:00,2025-05-15 08:02:30,6.041746426385171,1 Stop,Boeing 777,Business,Travel Agency,111532.17747520082,20729.82662128012,132262.00409648093,Regular,32
Air India,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-08-01 05:35:00,2025-08-01 07:50:07,2.252160851626083,Direct,Boeing 737,Business,Online Website,43039.48961290895,12455.923441936342,55495.41305484529,Regular,42
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",BKK,"Suvarnabhumi Airport, Bangkok",2026-02-23 20:04:00,2026-02-23 22:56:40,2.8779398674408476,Direct,Boeing 737,Economy,Direct Booking,75519.13621577581,17327.87043236637,92847.00664814218,Winter Holidays,58
Emirates,CXB,Cox's Bazar Airport,JSR,Jessore Airport,2025-12-27 07:48:00,2025-12-27 09:03:00,1.250034165827301,Direct,Airbus A320,First Class,Travel Agency,13931.774178796872,200.0,14131.774178796872,Winter Holidays,22
Etihad Airways,JSR,Jessore Airport,SPD,Saidpur Airport,2025-09-06 11:46:00,2025-09-06 12:39:15,0.8875293373114893,Direct,Airbus A320,First Class,Direct Booking,12204.018122582725,200.0,12404.018122582725,Regular,40
AirAsia,ZYL,"Osmani International Airport, Sylhet",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-01-18 13:24:00,2025-01-18 13:59:15,0.587638318517576,Direct,Airbus A320,First Class,Travel Agency,14106.095345870408,200.0,14306.095345870408,Regular,5
Saudia,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-12-11 05:14:00,2025-12-11 08:16:21,3.03941202608066,Direct,Boeing 787,Business,Direct Booking,95774.80140574076,20366.220210861113,116141.02161660187,Winter Holidays,14
Gulf Air,JSR,Jessore Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-04-16 14:02:00,2025-04-16 16:21:53,2.3314635335412515,Direct,Boeing 787,First Class,Travel Agency,21717.462439751955,5257.619365962793,26975.081805714748,Regular,66
Saudia,BZL,Barisal Airport,SPD,Saidpur Airport,2025-03-28 00:59:00,2025-03-28 02:15:29,1.2749570771666452,Direct,Airbus A320,Economy,Travel Agency,1645.6345258325223,200.0,1845.6345258325223,Regular,75
Gulf Air,BZL,Barisal Airport,IST,Istanbul Airport,2025-04-04 08:24:00,2025-04-04 15:09:53,6.764736814631596,1 Stop,Airbus A350,Economy,Direct Booking,21953.494315741715,7293.024147361257,29246.51846310297,Regular,73
AirAsia,JSR,Jessore Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-10-31 06:27:00,2025-10-31 06:57:00,0.5,Direct,Airbus A320,Business,Online Website,50264.281235866074,9539.642185379911,59803.923421245985,Regular,19
Thai Airways,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-12-27 14:46:00,2025-12-27 15:42:03,0.9342282016938958,Direct,Airbus A320,Business,Online Website,9608.22064813352,200.0,11769.864777760224,Winter Holidays,4
Air India,DAC,"Hazrat Shahjalal International Airport, Dhaka",BKK,"Suvarnabhumi Airport, Bangkok",2026-02-03 21:12:00,2026-02-03 23:57:46,2.7630155050715848,Direct,Boeing 787,Economy,Direct Booking,65804.31880267018,15870.647820400527,81674.96662307071,Winter Holidays,40
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",DEL,"Indira Gandhi International Airport, Delhi",2025-04-07 10:37:00,2025-04-07 13:19:36,2.7101586439050647,1 Stop,Boeing 787,Economy,Online Website,19281.388482516366,4892.208272377455,24173.59675489382,Regular,15
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-04-02 23:05:00,2025-04-03 08:07:49,9.046986661483434,1 Stop,Airbus A350,First Class,Direct Booking,276177.85397268285,47426.678095902425,323604.5320685853,Eid,48
Kuwait Airways,SPD,Saidpur Airport,BZL,Barisal Airport,2025-11-27 23:14:00,2025-11-28 00:23:47,1.1630561480054107,Direct,Airbus A320,Economy,Direct Booking,3502.3035922977524,200.0,3702.3035922977524,Regular,63
Kuwait Airways,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-02-26 20:42:00,2025-02-26 21:12:00,0.5,Direct,Airbus A320,Business,Direct Booking,5321.323411175824,200.0,5521.323411175824,Regular,16
Air India,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-09-05 04:54:00,2025-09-05 06:05:47,1.1964835634739786,Direct,Airbus A320,First Class,Online Website,13277.608543147753,200.0,13477.608543147753,Regular,29
Etihad Airways,CXB,Cox's Bazar Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2026-01-03 16:17:00,2026-01-03 17:24:12,1.1201316258406135,Direct,Airbus A320,Economy,Travel Agency,4423.645574058474,200.0,4623.645574058474,Winter Holidays,24
Etihad Airways,CGP,"Shah Amanat International Airport, Chittagong",SIN,Singapore Changi Airport,2025-03-27 01:09:00,2025-03-27 03:57:04,2.8012989149180996,Direct,Boeing 737,First Class,Online Website,136967.82053094296,26545.173079641445,163512.9936105844,Regular,21
Biman Bangladesh Airlines,BZL,Barisal Airport,DXB,Dubai International Airport,2025-11-20 07:31:00,2025-11-20 11:12:32,3.6923624750751634,Direct,Boeing 737,Economy,Online Website,21271.803448547966,7190.770517282195,28462.57396583016,Regular,80
Turkish Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",JED,"King Abdulaziz International Airport, Jeddah",2025-10-21 21:07:00,2025-10-22 03:12:53,6.0981931188901894,1 Stop,Airbus A350,Economy,Online Website,14218.923462301696,6132.838519345254,20351.761981646952,Regular,34
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",YYZ,Toronto Pearson International Airport,2026-01-20 04:02:00,2026-01-20 17:02:37,13.010435540258534,1 Stop,Boeing 777,Economy,Direct Booking,65578.26423069833,15836.73963460475,81415.00386530308,Winter Holidays,36
NovoAir,SPD,Saidpur Airport,BZL,Barisal Airport,2025-02-15 06:04:00,2025-02-15 07:20:49,1.280285623012911,Direct,Airbus A320,Business,Online Website,5535.9127277103535,200.0,5735.9127277103535,Regular,23
Lufthansa,ZYL,"Osmani International Airport, Sylhet",JSR,Jessore Airport,2025-08-17 06:01:00,2025-08-17 07:03:52,1.047835331532433,Direct,Airbus A320,Business,Travel Agency,7941.590997981598,200.0,8141.590997981598,Regular,77
Thai Airways,CXB,Cox's Bazar Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-07-31 11:36:00,2025-07-31 17:35:57,5.999248693833318,1 Stop,Airbus A350,First Class,Travel Agency,196888.68278059812,33533.30241708971,230421.9851976878,Regular,39
IndiGo,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-09-22 00:43:00,2025-09-22 01:18:59,0.5998429998853732,Direct,Airbus A320,First Class,Direct Booking,9432.008419450698,200.0,9632.008419450698,Regular,64
Saudia,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-08-14 04:57:00,2025-08-14 05:51:12,0.9035625725880457,Direct,Airbus A320,Business,Direct Booking,7179.906954788519,200.0,7379.906954788519,Regular,18
Cathay Pacific,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-04-06 14:50:00,2025-04-06 15:20:00,0.5,Direct,Airbus A320,First Class,Travel Agency,11978.491877726865,200.0,12178.491877726865,Regular,25
Gulf Air,CGP,"Shah Amanat International Airport, Chittagong",KUL,Kuala Lumpur International Airport,2025-08-29 05:01:00,2025-08-29 07:28:58,2.466111640627962,1 Stop,Boeing 787,First Class,Online Website,246885.7585295396,43032.86377943094,289918.62230897055,Regular,48
Air Arabia,SPD,Saidpur Airport,ZYL,"Osmani International Airport, Sylhet",2025-12-12 11:16:00,2025-12-12 12:22:37,1.1103639171433919,Direct,Airbus A320,Business,Online Website,7988.082166205554,200.0,8188.082166205554,Winter Holidays,11
AirAsia,JSR,Jessore Airport,KUL,Kuala Lumpur International Airport,2025-10-05 18:59:00,2025-10-05 22:00:46,3.0296696963668897,Direct,Boeing 737,Business,Direct Booking,28282.40009309486,10242.36001396423,38524.76010705909,Regular,10
Saudia,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-09-23 15:42:00,2025-09-23 16:54:09,1.2027324123830807,Direct,Airbus A320,First Class,Online Website,14494.2143511097,200.0,14694.2143511097,Regular,6
Singapore Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-07-04 21:36:00,2025-07-05 05:39:31,8.05873454162987,1 Stop,Boeing 777,First Class,Direct Booking,156009.83671886026,29401.475507829036,185411.3122266893,Regular,29
Singapore Airlines,JSR,Jessore Airport,BZL,Barisal Airport,2025-04-30 21:15:00,2025-04-30 21:45:00,0.5,Direct,Airbus A320,Economy,Direct Booking,2891.625408353235,200.0,3709.9504900238817,Regular,4
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",CXB,Cox's Bazar Airport,2025-06-20 19:01:00,2025-06-20 20:28:59,1.466575856833368,Direct,Airbus A320,First Class,Direct Booking,14640.665851357224,200.0,17808.799021628667,Regular,4
Thai Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",SPD,Saidpur Airport,2025-09-22 12:02:00,2025-09-22 12:50:36,0.8101493464035096,Direct,Airbus A320,First Class,Travel Agency,10937.942166573468,200.0,11137.942166573468,Regular,19
Biman Bangladesh Airlines,JSR,Jessore Airport,LHR,London Heathrow Airport,2025-07-16 23:23:00,2025-07-17 07:57:00,8.566754863911088,1 Stop,Boeing 777,Business,Direct Booking,33065.94908093581,10959.89236214037,44025.84144307618,Regular,83
Qatar Airways,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2026-01-06 09:29:00,2026-01-06 18:24:37,8.927155895580077,2 Stops,Boeing 777,Economy,Travel Agency,64526.713502326435,15679.007025348965,80205.7205276754,Winter Holidays,74
AirAsia,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2025-06-21 14:45:00,2025-06-21 19:15:25,4.506958614413824,Direct,Boeing 787,Business,Online Website,31773.44772353798,8766.017158530696,40539.46488206868,Regular,16
Emirates,CGP,"Shah Amanat International Airport, Chittagong",YYZ,Toronto Pearson International Airport,2025-07-02 23:15:00,2025-07-03 14:02:56,14.798990756087798,2 Stops,Boeing 777,Economy,Online Website,27766.531965895425,10164.979794884313,37931.51176077974,Regular,79
Etihad Airways,SPD,Saidpur Airport,YYZ,Toronto Pearson International Airport,2025-06-29 07:31:00,2025-06-29 20:40:47,13.16324724733764,1 Stop,Boeing 777,Economy,Online Website,46284.91020906673,12942.73653136001,59227.64674042674,Regular,39
US-Bangla Airlines,BZL,Barisal Airport,KUL,Kuala Lumpur International Airport,2025-07-16 13:02:00,2025-07-16 15:46:07,2.735453714186038,1 Stop,Boeing 737,Business,Direct Booking,77777.65475876842,17666.648213815264,95444.30297258368,Regular,6
Malaysian Airlines,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-10-08 13:52:00,2025-10-08 15:04:10,1.2028460834029242,Direct,Airbus A320,First Class,Direct Booking,48742.86250066613,9311.42937509992,58054.29187576605,Regular,66
Singapore Airlines,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-11-30 09:03:00,2025-11-30 12:28:42,3.428341047999558,Direct,Boeing 737,Business,Travel Agency,73060.92141003319,16959.13821150498,90020.05962153817,Regular,8
FlyDubai,BZL,Barisal Airport,LHR,London Heathrow Airport,2025-09-29 07:14:00,2025-09-29 15:53:31,8.65870541866241,1 Stop,Airbus A350,Economy,Online Website,25217.435505597066,9782.61532583956,35000.05083143663,Regular,33
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",SPD,Saidpur Airport,2025-01-30 09:49:00,2025-01-30 10:19:00,0.5,Direct,Airbus A320,Economy,Direct Booking,2411.763027366564,200.0,2611.763027366564,Regular,17
FlyDubai,ZYL,"Osmani International Airport, Sylhet",CGP,"Shah Amanat International Airport, Chittagong",2025-01-30 20:33:00,2025-01-30 21:29:25,0.940393963792219,Direct,Airbus A320,Economy,Online Website,2457.4783966662194,200.0,2657.4783966662194,Regular,27
Emirates,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-02-25 06:05:00,2025-02-25 21:15:20,15.172231137360761,1 Stop,Airbus A350,Business,Direct Booking,90842.20530546177,19626.330795819267,110468.53610128103,Regular,15
Air Arabia,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-11-04 15:46:00,2025-11-04 17:17:27,1.5243758966820302,Direct,Airbus A320,Business,Online Website,6629.013138897077,200.0,6829.013138897077,Regular,21
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-09-11 00:33:00,2025-09-11 04:11:25,3.640481109301759,Direct,Boeing 737,First Class,Direct Booking,165212.8546292162,30781.928194382428,195994.78282359862,Regular,12
AirAsia,JSR,Jessore Airport,KUL,Kuala Lumpur International Airport,2025-06-02 19:36:00,2025-06-02 22:21:33,2.759413767755743,1 Stop,Boeing 737,First Class,Travel Agency,236833.7471849813,41525.06207774719,334030.57111527416,Regular,2
Emirates,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2026-01-10 00:54:00,2026-01-10 05:07:58,4.233007130900389,1 Stop,Boeing 737,Economy,Online Website,10302.650307879021,5545.397546181854,15848.047854060875,Winter Holidays,24
British Airways,CGP,"Shah Amanat International Airport, Chittagong",DOH,"Hamad International Airport, Doha",2025-10-14 14:56:00,2025-10-14 19:45:44,4.829140877818131,Direct,Boeing 787,Economy,Travel Agency,47213.389772796676,11082.008465919502,69954.47788645941,Regular,1
Singapore Airlines,CXB,Cox's Bazar Airport,ZYL,"Osmani International Airport, Sylhet",2025-05-21 23:35:00,2025-05-22 00:59:20,1.405803906384134,Direct,Airbus A320,Business,Direct Booking,6500.030639701094,200.0,6700.030639701094,Regular,80
SriLankan Airlines,BZL,Barisal Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-08-15 08:40:00,2025-08-15 11:07:22,2.4561749090903695,Direct,Boeing 737,Business,Online Website,20413.494803561138,9062.024220534171,29475.51902409531,Regular,56
Thai Airways,RJH,"Shah Makhdum Airport, Rajshahi",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-08-07 01:01:00,2025-08-07 01:40:20,0.6555707093940909,Direct,Airbus A320,First Class,Online Website,236484.17838295724,37472.626757443584,273956.80514040083,Regular,31
Turkish Airlines,CGP,"Shah Amanat International Airport, Chittagong",KUL,Kuala Lumpur International Airport,2025-07-14 20:45:00,2025-07-14 23:24:26,2.657381146602834,Direct,Boeing 737,Business,Travel Agency,17048.00333646726,8557.20050047009,25605.203836937348,Regular,25
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",JFK,"John F. Kennedy International Airport, New York",2025-10-07 05:39:00,2025-10-07 20:43:21,15.072547893794082,1 Stop,Airbus A350,Economy,Online Website,9459.170878533094,7418.875631779964,16878.04651031306,Regular,65
Kuwait Airways,CXB,Cox's Bazar Airport,LHR,London Heathrow Airport,2025-09-22 10:14:00,2025-09-22 19:10:49,8.947201748869192,1 Stop,Airbus A350,Economy,Direct Booking,5751.248090533526,6862.687213580029,12613.935304113555,Regular,23
Saudia,CGP,"Shah Amanat International Airport, Chittagong",YYZ,Toronto Pearson International Airport,2025-04-17 09:17:00,2025-04-17 22:51:21,13.57251972931082,1 Stop,Boeing 777,First Class,Online Website,122143.88551751332,24321.582827626997,146465.4683451403,Regular,36
FlyDubai,JSR,Jessore Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2026-01-12 17:18:00,2026-01-12 17:48:00,0.5,Direct,Airbus A320,First Class,Online Website,14564.739989842155,200.0,14764.739989842155,Winter Holidays,44
